nip,thp_kotor,konfirmasi,thp_bersih,total_tk_thr,tk,thr_bulan,tmt_aktif,mode_thp,cv_url,kesehatan_url,kode_arsip
260001,4500000,Aktif 31 August 2026 (THP BERSIH FULL),4115200,384800,184800,200000,2026-08-31,FULL,https://drive.google.com/file/d/1pJUj7YhgPPo6RPPnnM-QhCqh-VimOHSY/view?usp=drive_link,https://docs.google.com/document/d/1fOlWLWwBmwsw2PLFeuheheaA93NUK0rZb15D6b2nb-Y/edit?usp=sharing,AW/LM/kem/21-22/Arsip SDM
260002,6384800,Akan dipertimbangkan,6000000,384800,184800,200000,,,https://drive.google.com/file/d/135b5FLwbaAv8cuc5DpBTjgsY769Lm337/view?usp=sharing,https://docs.google.com/document/d/1jQSuPwx1J4_6bbe5sg4sUcK-LI9lfyBP2vJdD4g3Zfo/edit?usp=sharing,AW/LM/kem/21-22/Arsip SDM
